Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),2002,<100DM,"[4,7years]",3,male:single,none,4,life insurance,30,none,rent,1,0,2,yes,yes,0
<0DM,24,all credits at this bank paid back duly,furniture/equipment,6872,<100DM,<1year,2,male:divorced/separated,none,1,life insurance,55, bank,own,1,0,1,yes,yes,1
<0DM,12,all credits at this bank paid back duly,car(new),697,<100DM,<1year,4,male:single,none,2,car or other,46, bank,own,2,0,1,yes,yes,1
<0DM,18,critical account,furniture/equipment,1049,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,21,none,rent,1,0,1,no,yes,0
<0DM,48,existing credits paid back duly till now,car(used),10297,<100DM,"[4,7years]",4,male:single,none,4,no property,39,stores,for free,3,1,2,yes,yes,1
no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown,>=7years,4,male:single,none,4,car or other,58,none,own,1,0,1,yes,yes,0
<0DM,12,delay in paying off in the past,car(new),1344,<100DM,"[1,4years]",4,male:single,none,2,real estate,43,none,own,2,0,2,no,yes,0
<0DM,24,existing credits paid back duly till now,furniture/equipment,1747,<100DM,<1year,4,male:single,co-applicant,1,life insurance,24,none,own,1,0,1,no,no,0
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,1670,<100DM,<1year,4,female:divorced/separated/married,none,2,car or other,22,none,own,1,0,1,yes,yes,1
no checking account,9,critical account,car(new),1224,<100DM,"[1,4years]",3,male:single,none,1,real estate,30,none,own,2,0,1,no,yes,0
no checking account,12,critical account,radio/television,522,"[500,1000DM]",>=7years,4,male:single,none,4,life insurance,42,none,own,2,0,2,yes,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,1498,<100DM,"[1,4years]",4,female:divorced/separated/married,none,1,car or other,23, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",30,delay in paying off in the past,radio/television,1919,"[100,500DM]",<1year,4,male:single,none,3,no property,30,stores,own,2,0,1,no,yes,1
>=200DM,9,existing credits paid back duly till now,radio/television,745,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,real estate,28,none,own,1,0,1,no,yes,1
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,2063,<100DM,<1year,4,male:married/widowed,none,3,car or other,30,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",60,existing credits paid back duly till now,education,6288,<100DM,"[1,4years]",4,male:single,none,4,no property,42,none,for free,1,0,1,no,yes,1
no checking account,24,critical account,car(used),6842,unknown,"[1,4years]",2,male:single,none,4,life insurance,46,none,own,2,1,2,yes,yes,0
no checking account,12,existing credits paid back duly till now,car(new),3527,unknown,<1year,2,male:single,none,3,life insurance,45,none,own,1,0,2,yes,yes,0
no checking account,10,existing credits paid back duly till now,car(new),1546,<100DM,"[1,4years]",3,male:single,none,2,real estate,31,none,own,1,0,2,no,no,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown,"[4,7years]",4,male:single,none,2,car or other,31,stores,own,1,0,1,yes,yes,0
no checking account,4,critical account,car(new),1455,<100DM,"[4,7years]",2,male:single,none,1,real estate,42,none,own,3,0,2,no,yes,0
<0DM,15,existing credits paid back duly till now,furniture/equipment,1845,<100DM,<1year,4,female:divorced/separated/married,guarantor,1,life insurance,46,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",48,nocreditstaken,car(new),8358,"[500,1000DM]",<1year,1,female:divorced/separated/married,none,1,car or other,30,none,own,2,0,1,no,yes,0
<0DM,24,all credits at this bank paid back duly,furniture/equipment,3349,"[500,1000DM]",<1year,4,male:single,none,4,no property,30,none,for free,1,0,2,yes,yes,1
no checking account,12,existing credits paid back duly till now,car(new),2859,unknown,unemployed,4,male:single,none,4,no property,38,none,own,1,0,1,yes,yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,<100DM,<1year,4,male:married/widowed,co-applicant,1,life insurance,43,none,own,1,0,2,no,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3621,"[100,500DM]",>=7years,2,male:single,none,4,car or other,31,none,own,2,0,1,no,yes,1
"[0DM,200DM]",18,critical account,business,3590,<100DM,unemployed,3,male:married/widowed,none,3,car or other,40,none,own,3,0,2,yes,yes,0
<0DM,36,delay in paying off in the past,business,2145,<100DM,"[4,7years]",2,male:single,none,1,car or other,24,none,own,2,0,1,yes,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,car(used),4113,"[500,1000DM]",<1year,3,female:divorced/separated/married,none,4,car or other,28,none,rent,1,1,1,no,yes,1
no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,<100DM,unemployed,4,female:divorced/separated/married,none,2,car or other,26,none,own,2,0,1,yes,yes,1
<0DM,12,existing credits paid back duly till now,car(new),1893,<100DM,"[1,4years]",4,female:divorced/separated/married,guarantor,4,life insurance,29,none,own,1,0,1,yes,yes,0
<0DM,24,critical account,radio/television,1231,>=1000DM,>=7years,4,female:divorced/separated/married,none,4,life insurance,57,none,rent,2,0,1,yes,yes,0
>=200DM,30,critical account,radio/television,3656,unknown,>=7years,4,male:single,none,4,life insurance,49,stores,own,2,0,1,no,yes,0
"[0DM,200DM]",9,critical account,radio/television,1154,<100DM,>=7years,2,male:single,none,4,real estate,37,none,own,3,0,1,no,yes,0
<0DM,28,existing credits paid back duly till now,car(new),4006,<100DM,"[1,4years]",3,male:single,none,2,car or other,45,none,own,1,0,1,no,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,furniture/equipment,3069,"[100,500DM]",>=7years,4,male:single,none,4,no property,30,none,for free,1,0,1,no,yes,0
no checking account,6,critical account,radio/television,1740,<100DM,>=7years,2,male:married/widowed,none,2,real estate,30,none,rent,2,0,1,no,yes,0
"[0DM,200DM]",21,delay in paying off in the past,car(new),2353,<100DM,"[1,4years]",1,male:divorced/separated,none,4,life insurance,47,none,own,2,0,1,no,yes,0
no checking account,15,existing credits paid back duly till now,car(new),3556,unknown,"[1,4years]",3,male:single,none,2,no property,29,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,2397,"[500,1000DM]",>=7years,3,male:single,none,2,car or other,35, bank,own,2,0,1,yes,yes,1
"[0DM,200DM]",6,existing credits paid back duly till now,repairs,454,<100DM,<1year,3,male:married/widowed,none,1,life insurance,22,none,own,1,0,1,no,yes,0
"[0DM,200DM]",30,existing credits paid back duly till now,radio/television,1715,unknown,"[1,4years]",4,female:divorced/separated/married,none,1,car or other,26,none,own,1,0,1,no,yes,0
"[0DM,200DM]",27,critical account,radio/television,2520,"[500,1000DM]","[1,4years]",4,male:single,none,2,life insurance,23,none,own,2,0,1,no,yes,1
no checking account,15,existing credits paid back duly till now,radio/television,3568,<100DM,>=7years,4,female:divorced/separated/married,none,2,car or other,54, bank,rent,1,0,1,yes,yes,0
no checking account,42,existing credits paid back duly till now,radio/television,7166,unknown,"[4,7years]",2,male:married/widowed,none,4,life insurance,29,none,rent,1,0,1,yes,yes,0
<0DM,11,critical account,car(new),3939,<100DM,"[1,4years]",1,male:single,none,2,real estate,40,none,own,2,0,2,no,yes,0
"[0DM,200DM]",15,existing credits paid back duly till now,repairs,1514,"[100,500DM]","[1,4years]",4,male:single,guarantor,2,real estate,22,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,car(new),7393,<100DM,"[1,4years]",1,male:single,none,4,life insurance,43,none,own,1,0,2,no,yes,0
<0DM,24,all credits at this bank paid back duly,car(new),1193,<100DM,unemployed,1,female:divorced/separated/married,co-applicant,4,no property,29,none,rent,2,0,1,no,yes,1
<0DM,60,existing credits paid back duly till now,business,7297,<100DM,>=7years,4,male:single,co-applicant,4,no property,36,none,rent,1,0,1,no,yes,1
no checking account,30,critical account,radio/television,2831,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,car or other,33,none,own,1,0,1,yes,yes,0
>=200DM,24,existing credits paid back duly till now,radio/television,1258,"[500,1000DM]","[1,4years]",3,female:divorced/separated/married,none,3,car or other,57,none,own,1,0,1,no,yes,0
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,753,<100DM,"[1,4years]",2,female:divorced/separated/married,guarantor,3,real estate,64,none,own,1,0,1,no,yes,0
"[0DM,200DM]",18,delay in paying off in the past,business,2427,unknown,>=7years,4,male:single,none,2,life insurance,42,none,own,2,0,1,no,yes,0
no checking account,24,delay in paying off in the past,car(new),2538,<100DM,>=7years,4,male:single,none,4,car or other,47,none,own,2,0,2,no,yes,1
"[0DM,200DM]",15,all credits at this bank paid back duly,car(new),1264,"[100,500DM]","[1,4years]",2,male:married/widowed,none,2,life insurance,25,none,rent,1,0,1,no,yes,1
"[0DM,200DM]",30,critical account,furniture/equipment,8386,<100DM,"[4,7years]",2,male:single,none,2,life insurance,49,none,own,1,0,1,no,yes,1
no checking account,48,existing credits paid back duly till now,business,4844,<100DM,unemployed,3,male:single,none,2,car or other,33, bank,rent,1,0,1,yes,yes,1
>=200DM,21,existing credits paid back duly till now,car(new),2923,"[100,500DM]","[1,4years]",1,female:divorced/separated/married,none,1,car or other,28, bank,own,1,0,1,yes,yes,0
<0DM,36,existing credits paid back duly till now,car(used),8229,<100DM,"[1,4years]",2,male:single,none,2,life insurance,26,none,own,1,1,2,no,yes,1
no checking account,24,critical account,furniture/equipment,2028,<100DM,"[4,7years]",2,male:single,none,2,life insurance,30,none,own,2,0,1,no,yes,0
<0DM,15,critical account,furniture/equipment,1433,<100DM,"[1,4years]",4,female:divorced/separated/married,none,3,life insurance,25,none,rent,2,0,1,no,yes,0
>=200DM,42,nocreditstaken,business,6289,<100DM,<1year,2,male:divorced/separated,none,1,life insurance,33,none,own,2,0,1,no,yes,0
no checking account,13,existing credits paid back duly till now,radio/television,1409,"[100,500DM]",unemployed,2,female:divorced/separated/married,none,4,real estate,64,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,car(used),6579,<100DM,unemployed,4,male:single,none,2,no property,29,none,for free,1,1,1,yes,yes,0
"[0DM,200DM]",24,critical account,radio/television,1743,<100DM,>=7years,4,male:single,none,2,life insurance,48,none,own,2,0,1,no,yes,0
no checking account,12,critical account,education,3565,unknown,<1year,2,male:single,none,1,life insurance,37,none,own,2,0,2,no,yes,0
no checking account,15,all credits at this bank paid back duly,radio/television,1569,"[100,500DM]",>=7years,4,male:single,none,4,car or other,34, bank,own,1,0,2,no,yes,0
<0DM,18,existing credits paid back duly till now,radio/television,1936,unknown,"[4,7years]",2,male:married/widowed,none,4,car or other,23,none,rent,2,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,furniture/equipment,3959,<100DM,unemployed,4,male:single,none,3,life insurance,30,none,own,1,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,car(new),2390,unknown,>=7years,4,male:single,none,3,car or other,50,none,own,1,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1736,<100DM,"[4,7years]",3,female:divorced/separated/married,none,4,real estate,31,none,own,1,0,1,no,yes,0
<0DM,30,existing credits paid back duly till now,car(used),3857,<100DM,"[1,4years]",4,male:divorced/separated,none,4,life insurance,40,none,own,1,1,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,804,<100DM,>=7years,4,male:single,none,4,car or other,38,none,own,1,0,1,no,yes,0
<0DM,45,existing credits paid back duly till now,radio/television,1845,<100DM,"[1,4years]",4,male:single,none,4,no property,23,none,for free,1,0,1,yes,yes,1
"[0DM,200DM]",45,critical account,car(used),4576,"[100,500DM]",unemployed,3,male:single,none,4,car or other,27,none,own,1,1,1,no,yes,0
